Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD,
1,1,MCP3004-I/P-ND,IC ADC 10BIT 2.7V 4CH SPI 14DIP,,1,0,2.14000,2.14,
2,10,BC3324-ND,CAP CER 0.1UF 50V X7R RADIAL,,10,0,0.13400,1.34,
3,1,TDSO5160-ND,DISPLAY 7-SEG. 13MM ORANGERED C.,7-seg color option,1,0,1.78000,1.78,
4,1,751-1059-ND,AMBIENT LIGHT SENSOR 5MM 570NM,,1,0,0.74000,0.74,
5,2,S9000-ND,CONN JUMPER SHORTING TIN,,2,0,0.13000,0.26,
6,1,4116R-1-101LF-ND,RES ARRAY 8 RES 100 OHM 16DIP,,0,1,0.84000,0.84,
7,1,4116R-1-473LF-ND,RES ARRAY 8 RES 47K OHM 16DIP,,1,0,0.84000,0.84,
8,1,SN74HC14N,IC HEX SCHMITT-TRIG INV 14-DIP,,1,0,0.54000,0.54,
9,1,S1011EC-40-ND,CONN HEADER .100" SNGL STR 40POS,,1,0,0.74000,0.74,
10,1,S1111EC-40-ND,CONN HEADER .100" SNGL R/A 40POS,Optional,1,0,0.92000,0.92,
11,5,493-1157-ND,CAP ALUM 1UF 20% 160V RADIAL,,5,0,0.24000,1.20,
12,1,296-2031-5-ND,IC GATE NAND 4CH 2-INP 14-DIP,,1,0,0.48000,0.48,
13,1,S9175-ND,CONN HEADER 2.54MM 40POS GOLD,,1,0,0.91000,0.91,
14,1,497-1492-5-ND,IC REG LDO 3.3V 0.8A TO220AB,,1,0,0.59000,0.59,
15,1,160-1127-ND,LED RED DIFF 5MM ROUND T/H,,1,0,0.36000,0.36,
16,1,160-1852-ND,LED GRN DIFF 5MM ROUND T/H,,1,0,0.33000,0.33,
17,1,67-1751-ND,LED BLUE DIFF 5MM ROUND T/H,,1,0,1.86000,1.86,
18,1,3386F-103TLF-ND,TRIMMER 10K OHM 0.5W PC PIN,Multiple pin layouts supported,1,0,2.48000,2.48,
19,7,2N4401-APCT-ND,TRANS NPN 40V TO92,,7,0,0.19000,1.33,
20,5,CF12JT220KCT-ND,RES 220K OHM 1/2W 5% AXIAL,,5,0,0.10000,0.50,
21,3,CF18JT100RCT-ND,RES 100 OHM 1/8W 5% CF AXIAL,,3,0,0.10000,0.30,
22,1,CF14JT22K0CT-ND,RES 22K OHM 1/4W 5% AXIAL,,1,0,0.10000,0.10,
23,2,CF14JT330RCT-ND,RES 330 OHM 1/4W 5% AXIAL,,2,0,0.10000,0.20,
24,5,450-1650-ND,SWITCH TACTILE SPST-NO 0.05A 24V,Button style option,5,0,0.10000,0.50,
25,5,450-1804-ND,SWITCH TACTILE SPST-NO 0.05A 24V,Button style option,0,5,0.10000,0.50,
26,2,360-2131-ND,SWITCH SLIDE SPDT 3A 125V,Switch style option,2,0,2.21000,4.42,
27,2,360-2385-ND,SWITCH SLIDE SPDT 6A 125V,Switch style option,2,0,3.41000,6.82,
28,2,450-1598-ND,SWITCH SLIDE SPDT 250MA 125V,Switch style option,2,0,0.93000,1.86,
29,2,360-2383-ND,SWITCH SLIDE SPDT 0.4VA 28V,Switch style option,2,0,3.98000,7.96,
30,1,668-1136-ND,SPEAKER 8OHM 150MW TOP PORT 72DB,17mm speaker also supported,1,0,3.53000,3.53,
31,2,EG1903-ND,SWITCH SLIDE SPDT 200MA 30V,Switch style option,2,0,0.58000,1.16,
32,1,TDSR1360-ND,DISPLAY 7-SEG. 13MM RED LC C.C.-,7-seg color option,1,0,1.78000,1.78,
33,1,TDSG5160-ND,DISPLAY 7-SEG. 13MM GREEN C.C.,7-seg color option,1,0,1.73000,1.73,
34,1,CF14JT100KCT-ND,RES 100K OHM 1/4W 5% AXIAL,,1,0,0.10000,0.10,
35,3,AE9989-ND,CONN IC DIP SOCKET 14POS TIN,Optional,3,0,0.23000,0.69,
36,3,AE9992-ND,CONN IC DIP SOCKET 16POS TIN,Optional,3,0,0.25000,0.75,
37,1,493-12772-1-ND,CAP ALUM 10UF 20% 25V RADIAL,,1,0,0.28000,0.28,
38,1,1125-1187-ND,LED YELLOW DIFF 5MM ROUND T/H,,1,0,0.35000,0.35,
39,10,1N4148FS-ND,DIODE GEN PURP 100V 200MA DO35,,10,0,0.05700,0.57,
40,1,296-2072-5-ND,IC 7-SEG LED DECOD/DRVR 16-DIP,,1,0,0.56000,0.56,
41,1,1N4001-TPMSCT-ND,DIODE GEN PURP 50V 1A DO41,,1,0,0.11000,0.11,
42,25,CF14JT47K0CT-ND,RES 47K OHM 1/4W 5% AXIAL,,25,0,0.02880,0.72,
